Tile,Replicate,Bin,Path,MFI,Read Count,Proportion of Cellss
1,1,1,counts/S2_matched_allowlist_substring_unique_counts.tsv.gz,125,107082786,0.2434
1,1,2,counts/S3_matched_allowlist_substring_unique_counts.tsv.gz,242,108500458,0.2607
1,1,3,counts/S4_matched_allowlist_substring_unique_counts.tsv.gz,953,132353594,0.2361
1,1,4,counts/S5_matched_allowlist_substring_unique_counts.tsv.gz,3077,94931869,0.2519
1,2,1,counts/S6_matched_allowlist_substring_unique_counts.tsv.gz,111,124079566,0.254
1,2,2,counts/S7_matched_allowlist_substring_unique_counts.tsv.gz,226,144482367,0.2724
1,2,3,counts/S8_matched_allowlist_substring_unique_counts.tsv.gz,827,113788818,0.237
1,2,4,counts/S9_matched_allowlist_substring_unique_counts.tsv.gz,3282,131017017,0.2486
1,3,1,counts/S10_matched_allowlist_substring_unique_counts.tsv.gz,86.9,99162382,0.2506
1,3,2,counts/S11_matched_allowlist_substring_unique_counts.tsv.gz,204,123323262,0.2468
1,3,3,counts/S12_matched_allowlist_substring_unique_counts.tsv.gz,711,119051369,0.25
1,3,4,counts/S13_matched_allowlist_substring_unique_counts.tsv.gz,3038,109949391,0.239